birthCity,birthState,birthYear,lat,long
Atlanta,GA,1985,33.762909,-84.422675
Atlanta,TX,1984,33.113238,-94.167610
Auburn,AL,1985,32.607722,-85.489545
Auburn,CA,1984,38.895075,-121.076739
Auburndale,FL,1991,28.100451,-81.791484
Auburndale,WI,1986,44.626751,-90.014292
Augusta,GA,1984,,
Augusta,GA,1985,,
Augusta,GA,1988,,
Augusta,GA,1982,,
Aurora,CO,1992,39.688002,-104.689740
Austin,TX,1980,30.304896,-97.753831
Austin,TX,1983,30.304896,-97.753831
Austin,TX,1985,30.304896,-97.753831
Austin,TX,1986,30.304896,-97.753831
Austin,TX,1987,30.304896,-97.753831
Austin,TX,1985,30.304896,-97.753831
Austin,TX,1982,30.304896,-97.753831
Austin,TX,1982,30.304896,-97.753831
Austin,TX,1990,30.304896,-97.753831
Austin,TX,1982,30.304896,-97.753831
Austin,TX,1982,30.304896,-97.753831
Austin,TX,1983,30.304896,-97.753831
Austin,TX,1989,30.304896,-97.753831
Austin,TX,1985,30.304896,-97.753831
Bakersfield,CA,1980,35.353547,-119.034875
Bakersfield,CA,1981,35.353547,-119.034875
Bakersfield,CA,1987,35.353547,-119.034875
Bakersfield,CA,1987,35.353547,-119.034875
Baltimore,MD,1982,39.300032,-76.610476
Baltimore,MD,1986,39.300032,-76.610476
Baltimore,MD,1984,39.300032,-76.610476
Baltimore,MD,1987,39.300032,-76.610476
Baltimore,MD,1982,39.300032,-76.610476
Bamberg,SC,1992,33.300136,-81.031222
Bamberg,SC,1990,33.300136,-81.031222
Barberton,OH,1983,41.006903,-81.604390
Barstow,CA,1992,34.866788,-117.043006
Baton Rouge,LA,1980,30.448458,-91.125901
Baton Rouge,LA,1993,30.448458,-91.125901
Baton Rouge,LA,1980,30.448458,-91.125901
Baxley,GA,1993,31.764743,-82.351753
Bayonne,NJ,1984,40.662338,-74.110275
Beaumont,TX,1987,30.084913,-94.145310
Beaver,PA,1981,40.693538,-80.307582
Beaver Falls,PA,1984,40.759401,-80.322551
Bedford,TX,1981,32.845838,-97.135076
Bedford,TX,1992,32.845838,-97.135076
Beech Grove,IN,1980,39.715342,-86.086962
Belle Fourche,SD,1982,44.663887,-103.859394
Belleville,IL,1980,38.515068,-89.986228
Belleville,IL,1980,38.515068,-89.986228
Belleville,IL,1982,38.515068,-89.986228
